title,price_gbp,rating,in_stock
"1,000 Places to See Before You Die",26.08,5,1
A Time of Torment (Charlie Parker #14),48.35,5,1
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,1
The Silkworm (Cormoran Strike #2),23.05,5,1
The Girl You Lost,12.29,5,1
A Flight of Arrows (The Pathfinders #2),55.53,5,1
Mrs. Houdini,30.25,5,1
The Passion of Dolssa,28.32,5,1
Voyager (Outlander #3),21.07,5,1
The Red Tent,35.66,5,1
Between Shades of Gray,20.79,5,1
While You Were Mine,41.32,5,1
A Spy's Devotion (The Regency Spies of London #1),16.97,5,1
Join,35.67,5,1
