title,category_name,rating,price_gbp,price_inr
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,55.53,5858.42
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,52.3,5517.65
A Time of Torment (Charlie Parker #14),Mystery,5,48.35,5100.92
While You Were Mine,Historical Fiction,5,41.32,4359.26
Join,Science Fiction,5,35.67,3763.19
The Red Tent,Historical Fiction,5,35.66,3762.13
Mrs. Houdini,Historical Fiction,5,30.25,3191.38
The Passion of Dolssa,Historical Fiction,5,28.32,2987.76
"1,000 Places to See Before You Die",Travel,5,26.08,2751.44
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,25.37,2676.54
